PLAYERS,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
Shane Lowry,302.1,174.29,0.6719,27.74,0.2097,0.6719,33.18,53.18,0.6727,0.5646,8.12,8.52,14.48,7.56,0.0226,0.3864
Si Woo Kim,295.4,167.52,0.6662,22.06,0.2188,0.6716,31.48,53.83,0.5905,0.4826,7.76,8.87,11.45,7.3,0.0268,0.454
Stephan Jaeger,303.9,175.66,0.5463,30.12,0.3346,0.7003,32.9,51.36,0.6063,0.5874,8.18,8.03,11.0,7.21,0.0286,0.4432
Stewart Cink,308.4,174.94,0.5164,33.03,0.3583,0.6553,33.36,57.89,0.514,0.5254,10.92,9.68,10.75,8.4,0.0253,0.4201
Sung Kang,292.3,171.34,0.5187,33.78,0.2868,0.6422,33.85,45.68,0.3175,0.509,8.81,11.19,6.42,8.31,0.0156,0.4091
Sungjae Im,297.7,172.41,0.6589,21.37,0.2432,0.6791,33.64,52.67,0.6906,0.5162,7.3,9.1,11.85,6.83,0.0249,0.481
Tano Goya,301.7,175.24,0.5863,30.37,0.3191,0.6584,35.17,53.0,0.4833,0.5793,9.2,8.83,13.76,7.87,0.0391,0.4675
Taylor Montgomery,305.0,177.49,0.5407,29.87,0.3249,0.6194,34.44,53.67,0.5104,0.4922,10.4,8.01,10.21,7.44,0.0213,0.5988
Taylor Moore,302.7,176.24,0.5786,27.2,0.2923,0.6517,33.84,52.22,0.5248,0.545,10.53,8.48,14.06,7.93,0.0265,0.5455
Taylor Pendrith,307.2,179.93,0.5296,28.55,0.3198,0.6818,33.07,54.8,0.5672,0.5698,10.76,8.99,13.11,8.32,0.0273,0.4585
Thomas Detry,306.4,178.11,0.5695,31.13,0.3219,0.6509,32.42,54.22,0.4513,0.5266,10.19,8.36,13.55,7.75,0.0157,0.435
Tom Hoge,294.3,170.55,0.6437,21.78,0.2473,0.6976,29.64,48.7,0.478,0.5637,10.22,9.61,11.37,7.43,0.0235,0.4792
Tom Kim,297.5,167.98,0.7009,21.43,0.221,0.7025,31.36,52.14,0.5864,0.5522,9.71,6.98,11.11,6.53,0.0243,0.456
Tommy Fleetwood,299.9,174.72,0.6011,28.99,0.247,0.6257,34.84,55.63,0.6357,0.4689,7.6,7.58,10.49,6.84,0.0249,0.505
Tony Finau,304.5,177.3,0.6221,28.4,0.258,0.6989,31.28,49.88,0.6219,0.5437,7.52,7.43,8.89,6.38,0.0244,0.4908
Trevor Cone,315.4,182.17,0.5189,39.12,0.396,0.678,34.27,50.96,0.5,0.5753,10.77,9.12,15.28,8.52,0.0391,0.4562
Trevor Werbylo,302.1,176.67,0.494,35.02,0.3673,0.6348,35.73,57.83,0.435,0.5544,9.76,8.74,12.46,8.1,0.0216,0.4492
Trey Mullinax,311.1,182.64,0.4649,39.06,0.3849,0.6253,33.34,52.28,0.5707,0.5043,9.7,8.22,13.69,7.96,0.0343,0.4252
Troy Merritt,289.5,166.0,0.6279,24.99,0.262,0.6075,33.27,53.63,0.3523,0.4979,10.48,9.17,14.0,8.01,0.0362,0.487
Tyler Duncan,296.2,168.76,0.6506,24.35,0.2653,0.6741,33.68,52.63,0.4892,0.5296,11.11,10.08,14.4,8.66,0.0417,0.4393
Tyrrell Hatton,304.4,174.09,0.6402,23.37,0.222,0.6564,33.66,56.97,0.617,0.5579,8.19,9.43,14.67,7.17,0.0219,0.4822
Tyson Alexander,297.3,174.16,0.5363,33.06,0.3592,0.6289,33.91,52.08,0.4365,0.5369,9.54,8.51,11.01,7.58,0.022,0.4394
Viktor Hovland,305.6,177.83,0.6453,24.52,0.2563,0.6725,31.83,51.48,0.6471,0.542,10.42,7.7,10.09,7.64,0.0313,0.418
Vincent Norrman,310.4,182.15,0.5538,36.2,0.3258,0.6802,32.98,51.29,0.507,0.5468,11.32,8.72,13.4,8.0,0.0432,0.4541
Webb Simpson,297.8,171.35,0.6179,28.56,0.2251,0.6066,33.58,51.22,0.507,0.4745,9.31,7.58,8.72,7.13,0.0345,0.4737
Will Gordon,310.3,183.88,0.6023,27.95,0.2968,0.709,33.15,52.88,0.5768,0.5896,9.14,8.53,11.64,8.0,0.0256,0.4383
William McGirt,278.2,162.02,0.6646,27.25,0.2788,0.6256,34.67,51.59,0.2969,0.4766,6.43,6.47,8.11,6.51,0.0242,0.4861
Wyndham Clark,312.7,185.93,0.5353,34.8,0.3298,0.6838,31.59,51.22,0.5573,0.5839,9.17,7.94,10.77,7.07,0.0237,0.4828
Xander Schauffele,301.6,178.64,0.5814,27.41,0.2864,0.6951,32.11,53.51,0.5987,0.5272,7.96,7.99,9.91,6.73,0.023,0.505
Zac Blair,278.3,164.43,0.6678,22.71,0.2872,0.627,33.5,56.05,0.3205,0.4663,7.52,7.39,9.39,6.84,0.0304,0.4689
Zach Johnson,291.8,163.55,0.6711,25.04,0.2535,0.6389,34.45,54.08,0.3719,0.5202,10.87,6.98,14.44,7.77,0.0234,0.4778
Zecheng Dou,303.6,176.36,0.5407,29.68,0.3573,0.6481,32.58,53.0,0.484,0.4907,11.58,10.53,10.63,8.14,0.0349,0.4195
