PLAYERS,Year_to_Model,Avg_Score,Predicted_Avg_Score,Weighted_Avg_Past_Score_Z,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
S.Y. Noh,2022,70.5,69.84,-0.1,0.3568,0.3647,-0.8652,-1.4036,-0.4825,-0.022,0.0309,0.2715,-1.7013,0.0301,0.189,-2.4728,-0.2873,-1.6417,0.9752,0.3031
Henrik Norlander,2022,70.5,69.33,-0.1,-0.6744,-0.272,0.2176,0.2206,0.1499,0.5157,-1.0524,-2.3764,-1.1647,0.3584,-0.8835,0.0013,-0.5304,-0.2352,-0.8846,-1.9427
Robert Streb,2022,70.5,69.92,-0.1,-0.3891,0.1323,-1.3425,-0.4085,-1.2683,-1.3714,-0.4205,-0.1647,-1.0239,-0.1055,-1.9959,-0.0177,-0.6197,-0.8832,0.4081,-2.1095
Jason Dufner,2022,71.0,69.24,-0.1,-0.1588,-0.3031,-1.084,-0.1289,-0.5297,0.2824,0.4596,0.2549,-0.4853,1.5242,1.328,0.4373,0.04,0.9499,-2.1641,-1.7638
Lee Hodges,2022,71.0,68.58,-0.1,0.1045,0.0112,0.2403,0.9422,0.5157,-0.6849,-0.8324,-0.4925,0.6273,-1.1261,-1.1299,0.7027,-0.4461,-0.4565,0.2366,-0.0402
Charley Hoffman,2022,71.0,69.11,-0.1,0.7627,0.1847,-1.0086,-0.2934,-0.9261,0.3635,1.447,1.783,-0.3912,0.2942,0.7419,1.1577,0.4021,1.2028,-0.3042,-1.5124
Ryan Armour,2022,71.5,69.75,0.8272,-1.7275,-2.1298,1.8589,1.1787,1.6531,0.6307,1.6445,0.9828,-2.1548,0.3394,-0.2773,-2.4443,0.6104,-1.3572,1.1203,-1.377
Hayden Buckley,2022,71.5,68.31,-0.1,0.7408,0.1699,0.9402,1.2732,1.1103,1.6284,0.8038,0.2132,0.5204,1.7169,-0.9168,-1.032,-1.0066,-0.899,0.0783,-0.4778
Kevin Kisner,2022,71.5,69.86,-0.1,-1.903,-1.3654,-0.5087,0.2288,1.1953,-3.1164,-2.7168,-1.1844,-0.7596,-2.2943,-4.1008,0.3899,-2.2714,-1.6417,-0.1987,-0.7534
Kurt Kitayama,2022,71.5,68.87,-0.1,0.8615,1.5465,-0.7784,-1.4735,-0.1403,0.2147,1.6332,1.7497,0.3768,0.2014,1.0483,0.1434,0.8188,0.5707,-1.2144,0.4505
Kelly Kraft,2022,71.5,70.33,-2.033,-1.5739,-1.7943,0.9194,0.8086,-0.0105,-2.572,-1.6674,-1.6095,-0.7624,-1.4521,-0.5571,-0.3874,-0.5006,-1.0728,0.5663,1.4417
Cameron Percy,2022,71.5,69.11,-0.7459,-1.3106,-1.0053,0.727,-1.0993,0.7918,0.12,-0.9565,-0.6982,-0.3637,0.2062,1.0216,0.4468,1.5777,0.6497,-0.1855,1.6399
Chez Reavie,2022,71.5,69.19,-0.1,-1.2338,-1.7828,1.5702,1.9414,1.4714,0.5867,0.5894,0.6022,-0.5402,-0.0175,-1.1699,-0.3021,-0.1832,-1.057,-0.7923,-0.5358
Doc Redman,2022,71.5,69.73,1.3993,-0.6963,-0.3588,-0.303,0.1713,-0.3032,-0.3298,0.1437,-0.3231,-1.5121,-0.4314,-1.0633,0.3141,-1.0512,-1.4204,-0.4493,-0.5672
Kevin Tway,2022,71.5,69.29,0.2552,1.0479,1.4631,-1.865,-1.2844,-1.7308,-0.1776,-0.8888,1.3302,0.2241,0.161,-1.0034,-1.3163,-0.5602,-0.9464,-0.2515,-0.5986
Austin Cook,2022,72.0,70.53,-1.0319,-1.7494,-1.4669,1.1118,0.8723,0.5228,-0.9284,-0.0425,0.6355,-2.1987,-0.9382,0.5487,-0.5106,0.5757,0.4601,-1.0033,0.1459
Martin Laird,2022,72.0,69.34,0.1122,-0.6634,-0.475,0.0988,0.7551,-0.2182,-0.6984,-0.6349,-1.1844,-0.3784,-1.4402,0.7152,-0.6433,-1.2943,-0.172,-1.1748,-1.174
Nick Taylor,2022,72.0,68.69,-0.1,-0.6305,-0.5094,-0.0465,0.9135,-0.0766,-0.1505,0.6515,-0.248,-0.1617,0.4726,0.1024,0.6553,0.6253,0.7919,1.0676,0.378
Danny Willett,2022,72.0,69.28,-0.1,-0.7402,-0.7745,-0.1898,-0.1001,-0.1356,-0.8066,0.4258,1.3718,-0.702,0.2942,2.1807,1.0914,0.5608,1.8507,0.6719,1.3377
Jim Herman,2022,72.5,69.69,-0.1,-0.8609,-0.9349,0.7364,1.1026,0.9758,-0.0964,-0.3641,-0.1202,-0.7733,-0.9215,-2.3489,-0.558,-2.2367,-1.8629,-1.7684,-1.1788
Sung Kang,2022,72.5,69.24,0.3982,-0.6634,-0.2573,-1.3387,-1.0089,0.1712,-0.465,-0.1102,2.3693,-1.4225,-0.4838,0.5953,-2.5202,2.902,-1.0096,1.5424,-1.2683
Brian Stuard,2022,72.5,70.54,0.5412,-3.0439,-2.6045,0.5572,1.1005,-0.1262,-2.2879,-0.68,-1.3344,-2.8131,-1.276,-0.1574,0.2193,1.4685,0.1756,1.1599,-0.0354
Adam Hadwin,2022,73.0,68.36,-0.1,-0.5756,-0.5634,0.942,0.1486,1.0608,0.4413,-0.7929,-1.2205,0.2927,-0.0032,0.3821,0.1245,0.2335,-0.7883,1.0016,1.2531
